# Hastane Sistemi - Örnek Hasta Verileri (100 kayıt)
# Format: TC,AD,SOYAD,YAS,POLİKLİNİK,TELEFON
10000000001,Ahmet,Yilmaz,45,Kardiyoloji,05321234567
10000000002,Fatma,Kaya,32,Noroloji,05331234568
10000000003,Mehmet,Demir,67,Gastroenteroloji,05341234569
10000000004,Ayse,Celik,28,Genel Cerrahi,05351234570
10000000005,Ali,Sahin,54,Ortopedi,05361234571
10000000006,Zeynep,Yildiz,41,Kardiyoloji,05371234572
10000000007,Mustafa,Ozturk,73,Noroloji,05381234573
10000000008,Elif,Arslan,19,Gastroenteroloji,05391234574
10000000009,Ibrahim,Dogan,58,Genel Cerrahi,05301234575
10000000010,Huseyin,Kilic,35,Ortopedi,05321234576
10000000011,Hasan,Kurt,62,Kardiyoloji,05331234577
10000000012,Selin,Polat,27,Noroloji,05341234578
10000000013,Emre,Koc,44,Gastroenteroloji,05351234579
10000000014,Can,Aydın,38,Genel Cerrahi,05361234580
10000000015,Derya,Gunes,51,Ortopedi,05371234581
10000000016,Burak,Aslan,29,Kardiyoloji,05381234582
10000000017,Merve,Ozdemir,46,Noroloji,05391234583
10000000018,Tolga,Simsek,33,Gastroenteroloji,05301234584
10000000019,Esra,Aydin,25,Genel Cerrahi,05321234585
10000000020,Serkan,Bulut,60,Ortopedi,05331234586
10000000021,Pinar,Erdogan,37,Kardiyoloji,05341234587
10000000022,Cem,Tekin,55,Noroloji,05351234588
10000000023,Nihal,Cinar,42,Gastroenteroloji,05361234589
10000000024,Oguz,Aktas,48,Genel Cerrahi,05371234590
10000000025,Tugce,Yalcin,22,Ortopedi,05381234591
10000000026,Kemal,Korkmaz,71,Kardiyoloji,05391234592
10000000027,Aysun,Kaplan,34,Noroloji,05301234593
10000000028,Volkan,Gunduz,50,Gastroenteroloji,05321234594
10000000029,Bahar,Erdem,26,Genel Cerrahi,05331234595
10000000030,Taner,Demirci,63,Ortopedi,05341234596
10000000031,Gulsen,Ozkan,39,Kardiyoloji,05351234597
10000000032,Ufuk,Karadag,57,Noroloji,05361234598
10000000033,Sibel,Yavuz,31,Gastroenteroloji,05371234599
10000000034,Koray,Acar,43,Genel Cerrahi,05381234600
10000000035,Ipek,Gungor,20,Ortopedi,05391234601
10000000036,Mert,Uzun,65,Kardiyoloji,05301234602
10000000037,Reyhan,Karatas,47,Noroloji,05321234603
10000000038,Tayfun,Bozkurt,36,Gastroenteroloji,05331234604
10000000039,Gonca,Yildirim,53,Genel Cerrahi,05341234605
10000000040,Alper,Coskun,24,Ortopedi,05351234606
10000000041,Deniz,Sevim,69,Kardiyoloji,05361234607
10000000042,Hacer,Tuna,30,Noroloji,05371234608
10000000043,Levent,Altun,56,Gastroenteroloji,05381234609
10000000044,Ozge,Ilhan,23,Genel Cerrahi,05391234610
10000000045,Cengiz,Demirtas,74,Ortopedi,05301234611
10000000046,Nurcan,Oz,40,Kardiyoloji,05321234612
10000000047,Selim,Akyuz,61,Noroloji,05331234613
10000000048,Banu,Guler,28,Gastroenteroloji,05341234614
10000000049,Atilla,Doganay,49,Genel Cerrahi,05351234615
10000000050,Vildan,Kara,35,Ortopedi,05361234616
10000000051,Kerem,Savas,52,Kardiyoloji,05371234617
10000000052,Figen,Erol,27,Noroloji,05381234618
10000000053,Yasin,Gumus,66,Gastroenteroloji,05391234619
10000000054,Ayten,Yildiz,33,Genel Cerrahi,05301234620
